iter	Passed	Remaining
0	23350	116727107
1	33503	83726154
2	54517	90807571
3	61748	77124245
4	84734	84649949
5	92687	77147045
6	95089	67825955
7	97323	60729696
8	112015	62119056
9	123392	61572983
10	126250	57260281
11	131415	54625028
12	150564	57759014
13	165562	58963796
14	167688	55728323
15	171337	53371638
16	173542	50868386
17	181207	50154299
18	189993	49808330
19	200610	49951953
20	203884	48340105
21	215445	48749380
22	223760	48419883
23	227761	47222520
24	235815	46927365
25	240302	45971643
26	245154	45153871
27	253909	45087007
28	262326	44966381
29	267737	44355204
30	282112	45219927
31	289882	45004306
32	305542	45988727
33	308357	45038367
34	314144	44563622
35	320460	44187894
36	325038	43599041
37	331599	43299910
38	335568	42686063
39	338119	41926825
40	340821	41222796
41	356820	42121810
42	362137	41746843
43	364702	41078819
44	367339	40448197
45	374474	40329256
46	377408	39772456
47	385838	39805670
48	402464	40665354
49	408994	40490458
50	418130	40575091
51	421338	40091998
52	430969	40226564
53	452407	41437210
