iter	Logloss
0	0.5947864264
1	0.5193958781
2	0.4623989414
3	0.4185699626
4	0.3863196564
5	0.3617165259
6	0.342458051
7	0.3274024208
8	0.3151978693
9	0.3055440295
10	0.2977246102
11	0.2912802682
12	0.2860157648
13	0.2815428617
14	0.2776915358
15	0.2744160052
16	0.2715377989
17	0.2690588275
18	0.2667981546
19	0.2649328125
20	0.2632865726
21	0.2617602441
22	0.2604049096
23	0.2591889555
24	0.2581510055
25	0.2571837435
26	0.2563658025
27	0.2555671163
28	0.2548448877
29	0.2542114881
30	0.2536460755
31	0.2531062955
32	0.2526566076
33	0.2522456914
34	0.2518805641
35	0.2515385239
36	0.2512211025
37	0.250874613
38	0.2505707285
39	0.2502731119
40	0.2500295015
41	0.2498039062
42	0.2495898663
43	0.2493970737
44	0.2491813654
45	0.2490047975
46	0.2488223293
47	0.2486722237
48	0.2485440265
49	0.2484094748
50	0.2482775629
51	0.2481366032
52	0.2480030098
53	0.2479079727
